No. ,Info  ,Memo  ,Hole  Pos.,Name  ,Weight  [mg],Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,C/N  ratio,Moisture  [%],Date       Time  
18,,,15,COMPASS_MAY22_139,504.8,soil,21432,476091,1.583,32.886,1.0046,1.0035,20.7727,0,7/21/22 22:47
19,,,16,COMPASS_MAY22_140,407.5,soil,16461,399046,1.5,34.061,1.0046,1.0035,22.7021,0,7/21/22 23:00
20,,,17,COMPASS_MAY22_141,402.8,soil,17479,384217,1.613,33.159,1.0046,1.0035,20.5534,0,7/21/22 23:12
21,,,18,COMPASS_MAY22_160,1515.3,soil,10300,290467,0.25,6.636,1.0046,1.0035,26.5578,0,7/21/22 23:26
22,,,19,COMPASS_MAY22_173,478.7,soil,15590,469533,1.208,34.195,1.0046,1.0035,28.297,0,7/21/22 23:38
23,,,20,COMPASS_MAY22_154,1528.3,soil,10265,293290,0.247,6.645,1.0046,1.0035,26.9132,0,7/21/22 23:52
24,,,21,COMPASS_MAY22_155,1528,soil,10030,264334,0.241,5.981,1.0046,1.0035,24.8026,0,7/22/22 0:05
25,,,22,COMPASS_MAY22_156,1445.6,soil,5238,146680,0.137,3.48,1,1.0035,25.4312,0,7/22/22 0:16
26,,,23,COMPASS_MAY22_157,1458.8,soil,3979,107968,0.104,2.529,1,1.0035,24.2045,0,7/22/22 0:26
27,,,24,COMPASS_MAY22_158,1511.6,soil,3633,115658,0.092,2.616,1,1.0035,28.2913,0,7/22/22 0:36
28,,,25,COMPASS_MAY22_159,1548.5,soil,8360,228273,0.203,5.086,1,1.0035,25.1108,0,7/22/22 0:48
29,,,26,COMPASS_MAY22_161,1542.7,soil,9130,254767,0.217,5.706,1.0046,1.0035,26.3213,0,7/22/22 1:01
30,,,27,COMPASS_MAY22_162,1475.1,soil,4833,129551,0.124,3.008,1,1.0035,24.2075,0,7/22/22 1:12
31,"Nu,Cu",,90,mt,100,blank [O2],20,26,0.006,0.008,1,1,1.2193,0,7/22/22 2:00
32,,,1,aspartic acid,106.5,aspartic acid 1,29384,111689,10.52,36.06,1.0236,1.0095,3.4278,0,7/22/22 2:11
33,,,2,COMPASS_MAY22_163,1590.2,soil,6085,143997,0.144,3.124,1,1.0095,21.7497,0,7/22/22 2:21
34,,,3,COMPASS_MAY22_164,1566.4,soil,5536,143468,0.133,3.159,1,1.0095,23.7302,0,7/22/22 2:32
35,,,4,COMPASS_MAY22_165,1454.6,soil,2286,63652,0.061,1.494,1,1.0095,24.2991,0,7/22/22 2:41
36,,,5,COMPASS_MAY22_166,1536.1,soil,1803,48806,0.046,1.08,1,1.0095,23.487,0,7/22/22 2:50
37,,,6,COMPASS_MAY22_167,1536.4,soil,2989,82084,0.076,1.83,1,1.0095,24.2344,0,7/22/22 3:00
38,,,7,COMPASS_MAY22_168,1532.2,soil,4637,112781,0.115,2.531,1,1.0095,22.0103,0,7/22/22 3:10
39,,,8,COMPASS_MAY22_169,1573.2,soil,2758,75316,0.068,1.638,1,1.0095,24.005,0,7/22/22 3:19
40,,,9,COMPASS_MAY22_170,1594.9,soil,4115,111863,0.099,2.412,1,1.0095,24.4453,0,7/22/22 3:29
41,,,10,COMPASS_MAY22_171,1560.2,soil,2623,76792,0.066,1.684,1,1.0095,25.6959,0,7/22/22 3:39
42,,,11,COMPASS_MAY22_172,519.1,soil,19209,514931,1.404,34.831,1.0236,1.0095,24.8117,0,7/22/22 3:51
43,,,12,COMPASS_MAY22_173,551.8,soil,17825,515690,1.224,32.815,1.0236,1.0095,26.8084,0,7/22/22 4:03
44,,,13,COMPASS_MAY22_174,512.7,soil,11044,325144,0.808,22.122,1.0236,1.0095,27.3662,0,7/22/22 4:15
45,,,14,COMPASS_MAY22_175,557.4,soil,18445,538807,1.255,33.96,1.0236,1.0095,27.0675,0,7/22/22 4:27
46,,,15,COMPASS_MAY22_176,554,soil,19285,485372,1.321,30.739,1.0236,1.0095,23.2751,0,7/22/22 4:39
47,,,16,COMPASS_MAY22_177,473.6,soil,16853,508201,1.347,37.672,1.0236,1.0095,27.963,0,7/22/22 4:51
48,Nu,,90,mt,100,blank [O2],43,8043,0.013,2.694,1,1,201.1812,0,7/22/22 4:59
49,,,17,aspartic acid,106.9,aspartic acid 1,30193,113092,10.52,36.06,0.9997,1.0005,3.4278,0,7/22/22 5:10
50,,,18,COMPASS_MAY22_178,450.4,soil,17081,398843,1.403,30.709,0.9997,1.0005,21.8954,0,7/22/22 5:22
51,,,19,COMPASS_MAY22_179,553.5,soil,19778,560222,1.324,35.26,0.9997,1.0005,26.6222,0,7/22/22 5:35
52,,,20,COMPASS_MAY22_180,514.7,soil,13534,312736,0.968,20.996,0.9997,1.0005,21.6842,0,7/22/22 5:47
53,,,21,COMPASS_MAY22_181,403.6,soil,15547,355944,1.422,30.533,0.9997,1.0005,21.4679,0,7/22/22 5:59
54,,,22,COMPASS_MAY22_182,471,soil,16189,361103,1.27,26.548,0.9997,1.0005,20.9038,0,7/22/22 6:12
55,,,23,COMPASS_MAY22_184,447.8,soil,14209,350921,1.17,27.125,0.9997,1.0005,23.1926,0,7/22/22 6:24
56,,,24,COMPASS_MAY22_186,517.4,soil,17432,390306,1.246,26.152,0.9997,1.0005,20.9823,0,7/22/22 6:37
57,,,25,COMPASS_MAY22_196,1566.4,soil,10103,309708,0.236,6.831,0.9997,1.0005,28.9666,0,7/22/22 6:51
58,,,26,COMPASS_MAY22_197,1602,soil,6759,235943,0.158,5.069,1,1.0005,32.0956,0,7/22/22 7:05
59,,,27,COMPASS_MAY22_198,1600.7,soil,8997,233136,0.205,5.011,0.9997,1.0005,24.4698,0,7/22/22 7:18
60,,,28,COMPASS_MAY22_199,1558.6,soil,4193,141443,0.103,3.102,1,1.0005,30.181,0,7/22/22 7:29
61,,,29,COMPASS_MAY22_200,1457.1,soil,6917,217527,0.178,5.132,1,1.0005,28.8909,0,7/22/22 7:42
62,,,30,COMPASS_MAY22_201,1571.7,soil,12350,322288,0.289,7.089,0.9997,1.0005,24.5471,0,7/22/22 7:56
63,,,31,COMPASS_MAY22_202,1427.9,soil,5395,152116,0.143,3.645,1,1.0005,25.5766,0,7/22/22 8:07
64,,,32,COMPASS_MAY22_203,1478.6,soil,10885,287889,0.27,6.72,0.9997,1.0005,24.9147,0,7/22/22 8:21
65,"Nnp,Cu",,90,mt,100,blank [O2],0,178,0,0.053,1,1,0,0,7/22/22 8:28
66,,,33,aspartic acid,107.3,aspartic acid 1,30349,113725,10.52,36.06,0.9982,0.9986,3.4278,0,7/22/22 8:40
67,,,34,COMPASS_MAY22_204,1499.5,soil,7942,206617,0.198,4.724,1,0.9986,23.8177,0,7/22/22 8:52
68,,,35,COMPASS_MAY22_206,1488.1,soil,5556,167971,0.141,3.859,1,0.9986,27.444,0,7/22/22 9:03
69,,,36,COMPASS_MAY22_207,1561.6,soil,4989,158772,0.121,3.474,1,0.9986,28.7194,0,7/22/22 9:15
70,,,37,COMPASS_MAY22_208,1506.8,soil,7792,207729,0.194,4.727,1,0.9986,24.4188,0,7/22/22 9:27
71,,,38,COMPASS_MAY22_209,1441.3,soil,5845,144328,0.152,3.417,1,0.9986,22.4173,0,7/22/22 9:38
72,,,39,COMPASS_MAY22_210,1505.1,soil,7747,202937,0.193,4.622,1,0.9986,23.9915,0,7/22/22 9:51
73,,,40,COMPASS_MAY22_211,1556.8,soil,6349,165274,0.153,3.629,1,0.9986,23.7388,0,7/22/22 10:04
74,,,41,COMPASS_MAY22_212,1570.4,soil,4990,146453,0.12,3.183,1,0.9986,26.4612,0,7/22/22 10:16
75,,,42,COMPASS_MAY22_214,1539.2,soil,5502,106739,0.135,2.358,1,0.9986,17.501,0,7/22/22 10:29
76,"Nu,Cu",,90,mt,100,blank [O2],44,74,0.014,0.022,1,1,1.5984,0,7/22/22 10:37
77,,,43,aspartic acid,136.2,aspartic acid 1,39445,144244,10.52,36.06,0.9727,0.9964,3.4278,0,7/22/22 10:48
78,"Nnp,Cu",,90,mt,100,blank,0,62,0,0.018,1,1,0,0,7/22/22 21:32
79,"Nu,Cu",,90,mt,100,blank,14,454,0.004,0.134,1,1,30.5873,0,7/22/22 21:40
80,"Nu,Cu",,90,mt,100,blank [O2],39,21,0.012,0.006,1,1,0.5002,0,7/22/22 21:47
81,,,1,RunIn,107.1,aspartic acid 1,30384,113113,10.417,35.851,0.9855,0.9964,3.4415,0,7/22/22 21:58
82,,,2,RunIn,122.8,aspartic acid 1,34683,128860,10.383,35.679,0.9855,0.9964,3.4362,0,7/22/22 22:09
83,,,3,aspartic acid,125,aspartic acid 1,35336,131054,10.52,36.06,0.9974,1.0077,3.4278,0,7/22/22 22:21
84,,,4,aspartic acid,127,aspartic acid 1,36356,133938,10.52,36.06,0.9847,1.0015,3.4278,0,7/22/22 22:32
85,,,5,COMPASS_MAY22_145,452.5,soil,17506,359654,1.419,27.634,0.9911,1.0046,19.4752,0,7/22/22 22:44
86,,,6,COMPASS_MAY22_146,523.6,soil,25611,579046,1.803,38.697,0.9911,1.0046,21.4616,0,7/22/22 22:58
87,,,7,COMPASS_MAY22_147,471.5,soil,21067,425843,1.643,31.479,0.9911,1.0046,19.1566,0,7/22/22 23:09
88,,,8,COMPASS_MAY22_148,594.9,soil,22102,385580,1.367,22.558,0.9911,1.0046,16.4992,0,7/22/22 23:22
89,,,9,COMPASS_MAY22_149,542.7,soil,23219,636010,1.575,41.044,0.9911,1.0046,26.0526,0,7/22/22 23:35
90,,,10,COMPASS_MAY22_150,484.4,soil,21987,397435,1.67,28.568,0.9911,1.0046,17.1038,0,7/22/22 23:47
91,,,11,COMPASS_MAY22_151,454.9,soil,20570,526006,1.662,40.417,0.9911,1.0046,24.3119,0,7/23/22 0:00
92,,,12,COMPASS_MAY22_152,468,soil,25887,419550,2.039,31.239,0.9911,1.0046,15.3183,0,7/23/22 0:12
93,,,13,COMPASS_MAY22_153,449.6,soil,26424,439733,2.167,34.105,0.9911,1.0046,15.7359,0,7/23/22 0:25
94,,,14,COMPASS_MAY22_188,518.2,soil,16726,438644,1.183,29.516,0.9911,1.0046,24.9505,0,7/23/22 0:39
95,,,15,COMPASS_MAY22_189,496.6,soil,12104,264527,0.888,18.437,0.9911,1.0046,20.7707,0,7/23/22 0:52
96,,skip,16,COMPASS_MAY22_190,493.5,soil,18241,365722,1.357,25.772,0.9911,1.0046,18.9976,0,7/23/22 1:06
97,,skip,17,COMPASS_MAY22_191,450.2,soil,32263,179753,2.648,13.746,0.9911,1.0046,5.1915,0,7/23/22 1:19
98,,skip,18,COMPASS_MAY22_192,455.1,soil,41820,285454,3.402,21.733,0.9911,1.0046,6.3875,0,7/23/22 1:32
99,,skip,19,COMPASS_MAY22_193,499.5,soil,151125,81833,11.381,5.584,0.9911,1.0046,0.4907,0,7/23/22 1:45
100,No,skip,20,COMPASS_MAY22_194,462,soil,381512,83113,33.586,6.133,0.9911,1.0046,0.1826,0,7/23/22 1:58
101,Cpe,skip,21,COMPASS_MAY22_195,452.9,soil,282677,233995,24.348,17.851,0.9911,1.0046,0.7332,0,7/23/22 2:17
102,Cpe,skip,90,mt,100,blank [O2],12055,7050,4.389,2.356,0.9911,1,0.5367,0,7/23/22 2:32
103,Cpe,skip,22,aspartic acid,117.1,aspartic acid 1,72477,130667,10.52,36.06,0.4531,0.9469,3.4278,0,7/23/22 2:49
104,"Npe,Cpe,Nu",skip,90,mt,100,blank,159,3333,0.05,1.086,1,1,21.744,0,8/4/22 19:49
105,Cpe,skip,90,mt,100,blank,409,5461,0.136,1.814,1,1,13.3233,0,8/4/22 20:03
106,"Npe,Cpe",skip,90,mt,100,blank [O2],2366,3625,0.925,1.186,1,1,1.2819,0,8/4/22 20:24
107,Cpe,skip,1,RunIn,107.2,aspartic acid 1,32069,116777,5.053,35.153,0.4531,0.9469,6.9575,0,8/4/22 20:41
108,Cpe,skip,2,RunIn,101.2,aspartic acid 1,31563,109866,5.267,35.007,0.4531,0.9469,6.6465,0,8/4/22 20:58
109,Cpe,skip,3,aspartic acid,114.1,aspartic acid 1,36515,124323,10.52,36.06,0.8808,0.9703,3.4278,0,8/4/22 21:16
110,Cpe,skip,4,aspartic acid,102.1,aspartic acid 1,33311,110694,10.52,36.06,0.8646,0.9766,3.4278,0,8/4/22 21:34
111,Cpe,skip,5,COMPASS_MAY22_137,527.1,soil,23769,559094,1.463,35.95,0.8727,0.9734,24.5793,0,8/4/22 21:51
112,Cpe,skip,6,COMPASS_MAY22_138,524.3,soil,26280,506956,1.628,32.733,0.8727,0.9734,20.1114,0,8/4/22 22:07
113,,skip,7,COMPASS_MAY22_144,548.4,soil,0,0,0,0,1,1,0,0, 
114,,skip,8,COMPASS_MAY22_183,528.2,soil,0,0,0,0,1,1,0,0, 
115,,skip,9,COMPASS_MAY22_185,544.5,soil,0,0,0,0,1,1,0,0, 
116,,skip,10,COMPASS_MAY22_187,554.1,soil,0,0,0,0,1,1,0,0, 
117,"Nnp,Cu",,1,mt,100,blank,0,21,0,0.006,1,1,0,0,11/18/22 0:02
118,Nu,,2,MT,100,blank,107,1733,0.034,0.537,1,1,15.9414,0,11/18/22 0:10
119,"Cnp,Nu",,3,MT,100,blank [O2],98,0,0.031,0,1,1,0,0,11/18/22 0:17
120,"Cnp,Nu",,4,MT,100,blank [O2],114,0,0.036,0,1,1,0,0,11/18/22 0:25
121,,,5,RunIn,113.6,aspartic acid 1,32426,120716,9.287,35.269,0.8727,0.9734,3.7974,0,11/18/22 0:36
122,,,6,RunIn,106.9,aspartic acid 1,30051,112590,9.14,34.926,0.8727,0.9734,3.821,0,11/18/22 0:47
123,,,7,RunIn,92.3,aspartic acid 1,26290,98270,9.249,35.245,0.8727,0.9734,3.8108,0,11/18/22 0:58
124,,,8,aspartic acid,105.9,aspartic acid 1,30160,113268,10.52,36.06,0.9914,0.9896,3.4278,0,11/18/22 1:09
125,,,9,aspartic acid,100.3,aspartic acid 1,28353,106992,10.52,36.06,0.9994,0.993,3.4278,0,11/18/22 1:21
126,,,10,aspartic acid,107.8,aspartic acid 1,30427,114140,10.52,36.06,1.0003,0.9996,3.4278,0,11/18/22 1:32
127,,,11,COMPASS_MAY22_137,442.1,soil15,18612,334278,1.555,25.983,0.997,0.9941,16.7103,0,11/18/22 1:44
128,,,12,COMPASS_MAY22_138,352.9,soil15,17812,281746,1.863,27.367,0.997,0.9941,14.69,0,11/18/22 1:56
129,,,13,COMPASS_MAY22_190,510.5,soil15,12871,236958,0.925,15.871,0.997,0.9941,17.159,0,11/18/22 2:09
130,,,14,COMPASS_MAY22_191,491.5,soil15,7422,153376,0.565,10.608,1,0.9941,18.7803,0,11/18/22 2:21
131,,,15,COMPASS_MAY22_192,495.3,soil15,14125,247146,1.048,17.072,0.997,0.9941,16.2856,0,11/18/22 2:34
132,,,16,COMPASS_MAY22_193,515.8,soil15,2924,71858,0.22,4.69,1,0.9941,21.3029,0,11/18/22 2:46
133,,,17,COMPASS_MAY22_194,506,soil15,3271,78317,0.25,5.217,1,0.9941,20.871,0,11/18/22 2:58
134,,,18,COMPASS_MAY22_195,494.6,soil15,10480,211962,0.773,14.631,0.997,0.9941,18.917,0,11/18/22 3:11
135,"Nu,Cu",,19,MT,100,blank [O2],25,235,0.008,0.07,1,1,8.891,0,11/18/22 3:19
136,,,20,aspartic acid,114.2,aspartic acid 1,32202,120846,10.52,36.06,1.0007,0.9994,3.4278,0,11/18/22 3:30
137,,,21,,0,,0,0,0,0,1,1,0,0, 
