,Cation Concentration Summary Report,,,,,,
,,,,,,,
No. ,Name ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount 
,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Lithium,Sodium,Ammonia,Potassium,Magnesium,Calcium
44,C-20x,2.60,10.45,12.50,26.09,13.24,26.51  
45,MQ3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
46,DOC_CMPS_KFP_0301,n.a.,54.60,0.43,1.89,1.58,0.51  
47,DOC_CMPS_KFP_0302,n.a.,30.37,0.17,1.29,0.76,0.20  
48,DOC_CMPS_KFP_0303,n.a.,30.16,n.a.,1.31,0.60,0.28  
49,DOC_CMPS_KFP_0304,n.a.,42.70,0.09,1.85,0.66,0.31  
50,DOC_CMPS_KFP_0305,n.a.,35.66,0.26,1.68,0.45,0.30  
51,DOC_CMPS_KFP_0306,n.a.,37.37,0.19,2.04,0.85,0.36  
52,DOC_CMPS_KFP_0307,n.a.,39.41,0.22,1.36,0.73,0.31  
53,DOC_CMPS_KFP_0308,n.a.,29.68,n.a.,1.26,0.61,0.20  
54,DOC_CMPS_KFP_0309,n.a.,85.30,n.a.,4.91,3.86,1.66  
55,DOC_CMPS_KFP_0310,n.a.,72.66,n.a.,3.32,3.92,1.56  
56,C-20x,2.60,10.43,12.49,26.04,13.24,26.54  
57,MQ4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
58,DOC_CMPS_KFP_0311,n.a.,51.45,n.a.,n.a.,0.84,1.13  
59,DOC_CMPS_KFP_0312,n.a.,84.67,0.73,3.97,4.15,1.64  
60,DOC_CMPS_KFP_0313,n.a.,86.69,n.a.,3.60,4.63,2.00  
61,DOC_CMPS_KFP_0314,n.a.,62.72,n.a.,2.59,1.57,0.69  
62,DOC_CMPS_KFP_0315,n.a.,79.67,n.a.,3.79,3.50,1.51  
63,DOC_CMPS_KFP_0316,n.a.,61.31,n.a.,2.65,3.58,1.53  
64,DOC_CMPS_KFP_0317,n.a.,38.03,n.a.,1.57,1.01,0.48  
65,DOC_CMPS_KFP_0318,n.a.,1.12,n.a.,n.a.,n.a.,n.a.
66,DOC_CMPS_KFP_0319,n.a.,0.67,n.a.,n.a.,n.a.,n.a.
67,DOC_CMPS_KFP_0320,n.a.,82.26,n.a.,5.01,2.15,n.a.
68,C-20x,2.60,10.45,12.51,26.06,13.29,26.62  
69,MQ5,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
70,DOC_CMPS_KFP_0321,n.a.,95.57,0.65,4.84,0.65,0.57  
71,DOC_CMPS_KFP_0322,n.a.,51.79,0.72,2.83,0.47,0.59  
72,DOC_CMPS_KFP_0323,n.a.,104.05,0.56,5.83,1.02,0.95  
73,DOC_CMPS_KFP_0324,n.a.,38.27,n.a.,2.27,0.34,0.58  
74,DOC_CMPS_KFP_0325,n.a.,17.00,0.27,0.94,0.17,0.69  
75,DOC_CMPS_KFP_0326,n.a.,89.86,n.a.,4.87,2.87,0.79  
76,DOC_CMPS_KFP_0327,n.a.,65.08,0.94,3.57,0.56,0.86  
77,DOC_CMPS_KFP_0328,n.a.,110.70,1.25,6.31,2.64,n.a.
78,DOC_CMPS_KFP_0329,n.a.,83.06,1.29,5.65,1.42,0.82  
79,DOC_CMPS_KFP_0330,n.a.,90.11,1.22,5.05,2.53,n.a.
80,C-20x,2.60,10.45,12.52,26.07,13.32,26.84  
81,MQ6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
