"sample_label","region","site","transect","tree_number","horizon","gwc_perc","pH","spConductance_mscm","TC_perc","TN_perc","TS_perc","percentOM","npoc_ug_g","dic_ugg","no3n_ug_g","nh4n_ug_g","Na_meq100g","K_meq100g","Ca_meq100g","Mg_meq100g","Al_meq100g","cec_meq100g","Fe_ugg","mehlichp_ugg","Chloride_meq100g","Sulfate_meq100g"
"COMPASS_Dec2021_050","WLE","CRC","transition","218","A",239.46,6.7,0.12,12.143,0.861,0.153,25.16,64.38,1140.88,48.59,24.49,0.25,0.49,16.21,5.09,0,22.04,216.59,25.06,0.205,0.377
"COMPASS_Dec2021_051","WLE","CRC","transition","219","A",127.91,6.7,0.12,8.972,0.683,0.106,17.96,57.74,698.76,35.62,17.05,0.06,0.42,11.36,5.61,0,17.45,5.28,8.92,0.137,0.132
"COMPASS_Dec2021_052","WLE","CRC","wc","W1","A",296.61,6.6,1.35,8.712,0.92,0.316,17.48,38.94,1338.34,4.56,31,0.31,0.2,11.37,2.63,0,14.51,342.08,128.07,0.087,9.291
"COMPASS_Dec2021_053","WLE","CRC","wc","W2","A",389.9,7.3,0.57,7.869,0.886,NA,17.52,89.26,1876.15,215.05,39.05,0.57,0.65,26.91,5.3,0,33.43,123.91,298.15,0.297,7.173
"COMPASS_Dec2021_054","WLE","CRC","wc","W3","A",251.48,7,0.77,8.254,0.812,0.285,16.96,50.78,1246.75,167.03,27.97,0.38,0.47,22.76,5.12,0,28.74,107.23,31.55,0.183,8.85
"COMPASS_Dec2021_055","WLE","CRC","wc","W4","A",209.8,6.9,0.54,8.34,0.698,0.236,17.35,43.11,1079.49,56.28,24.1,0.36,0.58,17.23,5.27,0,23.43,295.77,67.54,0.14,6.007
"COMPASS_Dec2021_056","WLE","CRC","wc","W5","A",135.96,6.4,0.36,6.017,0.526,0.127,12.83,42.38,736.19,52.82,18.49,0.29,0.27,13.11,4.55,0,18.22,NA,59.6,0.106,3.03
"COMPASS_Dec2021_057","WLE","CRC","wc","W6","A",167.16,6.4,0.28,7.346,0.644,0.098,14.95,34.84,856.87,19.47,11.08,0.29,0.3,15.69,4.59,0,20.88,150.2,40.51,0.102,2.239
"COMPASS_Dec2021_058","WLE","CRC","wc","W7","A",189.6,5.9,0.48,8.843,0.758,0.205,19.76,129.62,906.03,89.91,22.72,0.44,0.39,13.45,5.64,0,19.92,180.27,38.81,0.106,5.319
"COMPASS_Dec2021_059","WLE","CRC","wc","W8","A",166.14,6.8,0.56,6.452,0.631,0.16,9.3,60.77,929,50.8,18.83,0.37,0.74,13.8,4.52,0,19.43,254.24,101.49,0.156,7.605
"COMPASS_Dec2021_060","WLE","CRC","wc","W9","A",223.35,7.2,0.8,7.107,0.735,0.217,14.25,103.29,1262.65,148.79,21.68,0.41,0.76,19.77,4.52,0,25.46,288.37,124.31,0.339,10.427
"COMPASS_Dec2021_061","WLE","OWC","upland","101","A",51.62,6.2,0.1,4.754,0.355,0.039,9.81,67.23,446.64,53.54,12.41,0.03,0.6,5.55,1.91,0,8.08,25.6,44.84,0.005,0.026
"COMPASS_Dec2021_062","WLE","OWC","upland","102","A",51.96,6.6,0.07,4.447,0.306,0.024,9.44,67.19,450.24,42.37,12.06,0.02,0.93,5.47,2.27,0,8.69,22.57,11.58,0.003,0.02
"COMPASS_Dec2021_063","WLE","OWC","upland","103","A",51.67,6.3,0.07,5.817,0.366,0.029,12.03,81.27,448.05,27.49,10.83,0.04,0.77,5.56,2.06,0,8.42,19.59,10.51,0.002,0.017
"COMPASS_Dec2021_064","WLE","OWC","upland","104","A",41.5,5,0.07,5.128,0.371,0.027,11.31,81.67,407.7,26.17,19.06,0.03,0.81,3.22,1.3,0.24,5.6,18.39,25.26,0.011,0.046
"COMPASS_Dec2021_065","WLE","OWC","upland","105","A",53.73,5.7,0.11,6.135,0.444,0.033,13.39,70.08,451.93,73.19,13.16,0.03,0.61,5.61,2.02,0.02,8.29,19.21,26.13,0.01,0.042
"COMPASS_Dec2021_066","WLE","OWC","upland","106","A",38.8,6.3,0.04,3.017,0.256,0.017,7.03,36.7,NA,30.16,10.08,0.02,0.55,3.88,1.36,0,5.82,24.82,11.7,0.003,0.018
"COMPASS_Dec2021_067","WLE","OWC","upland","107","A",53.59,6.4,0.08,4.282,0.343,0.024,9.76,62.53,451.62,49.38,11.85,0.02,0.75,5.15,1.91,0,7.83,23.82,8.64,0,0.029
"COMPASS_Dec2021_068","WLE","OWC","upland","108","A",67.74,6.6,0.14,7.039,0.469,0.034,14.68,86.42,501.58,82.18,12.82,0.04,0.94,8.29,2.36,0,11.63,12.78,16.46,0.005,0.033
"COMPASS_Dec2021_069","WLE","OWC","upland","109","A",50.15,6.7,0.07,5.381,0.342,0.022,10.58,71.68,447.75,39.9,12.53,0.03,1.01,5.21,2.25,0,8.5,34.36,33.14,0.004,0.009
"COMPASS_Dec2021_001","WLE","PTR","upland","1","A",61.74,5.5,0.17,7.84,0.537,0.055,15.61,1.74,472.98,112.29,13.32,0.08,1.11,7.7,2.94,0.04,11.87,42.92,NA,0.014,0.077
"COMPASS_Dec2021_002","WLE","PTR","upland","2","A",58.43,5.9,0.1,7.49,0.559,0.059,16.33,121.52,463.46,63.67,12.57,0.03,1.04,9.6,1.93,0.02,12.63,31.47,190.94,0.002,0.037
"COMPASS_Dec2021_003","WLE","PTR","upland","3","A",55.29,5.9,0.09,7.649,0.598,0.059,15.67,54.32,454.59,44.08,11.15,0.06,1.08,9.01,2.2,0.02,12.36,52.99,146.98,0.004,0.049
"COMPASS_Dec2021_004","WLE","PTR","upland","4","A",49.08,6.6,0.08,6.067,0.487,0.045,12.42,42.19,435.11,30.98,8.9,0.03,1.08,8.47,2.66,0,12.23,39.12,NA,0,0.026
"COMPASS_Dec2021_005","WLE","PTR","upland","5","A",54.78,6.5,0.09,6.576,0.549,0.052,13.06,38.48,456.27,35.7,11.04,0.04,1.41,7.91,2.6,0.02,11.97,39.04,NA,0.001,0.033
"COMPASS_Dec2021_006","WLE","PTR","upland","6","A",53.85,6.2,0.11,7.335,0.588,0.055,15.11,47.72,450.81,61.73,10.21,0.05,1.55,8.46,2.17,0,12.24,50.26,209.66,0.004,0.041
"COMPASS_Dec2021_007","WLE","PTR","upland","7","A",62.62,5.4,0.14,8.439,0.651,0.069,17.45,110.25,477.8,52.54,11.82,0.07,1.31,8.97,1.47,0.03,11.85,30.27,245.19,0.014,0.065
"COMPASS_Dec2021_008","WLE","PTR","upland","8","A",53.04,6.4,0.13,7.659,0.64,0.064,15.06,46.51,451.71,70.63,11.5,0.08,0.87,9.27,2.83,0.02,13.07,69.2,229.44,0.008,0.045
"COMPASS_Dec2021_009","WLE","PTR","upland","9","A",57.32,5.7,0.13,6.338,0.516,0.052,14.78,50.81,458.97,93.68,12.24,0.07,0.62,8.68,1.89,0.02,11.27,44.59,203.35,0.024,0.065
"COMPASS_Dec2021_019","WLE","PTR","wc","L1","A",279.85,7.2,0.32,7.222,0.689,0.118,15.87,82.44,1398.72,181.18,29.03,0.42,1.34,17.74,4.91,0,24.42,338.93,88.75,0.321,0.747
"COMPASS_Dec2021_020","WLE","PTR","wc","L2","A",324.82,7.1,0.32,6.842,0.656,NA,16.38,72.04,1465.39,100.41,33.06,0.45,0.74,15.06,5.74,0,21.98,327.56,71.5,0.207,2.419
"COMPASS_Dec2021_021","WLE","PTR","wc","L3","A",251.37,6.8,0.16,8.335,0.734,0.11,18.98,41.25,1173.16,94.55,26.35,0.33,0.83,12.82,6.3,0,20.29,189.29,22.52,0.104,0.252
"COMPASS_Dec2021_022","WLE","PTR","wc","L4","A",339.34,7.2,0.2,9.217,0.789,NA,20.28,98.4,1646.98,167.38,35.25,0.51,0.55,15.23,8.28,0,24.56,184.98,181.34,0.269,1.023
"COMPASS_Dec2021_023","WLE","PTR","wc","L5","A",189.47,5.8,0.33,8.742,0.716,0.14,20.57,33.06,901.05,39.28,17.02,0.26,0.88,10.98,4.66,0,16.78,120.12,12.81,0.119,2.608
"COMPASS_Dec2021_024","WLE","PTR","wc","L6","A",270.7,6.5,0.22,8.62,0.768,NA,19.62,82.85,1311.28,57.35,24.43,0.3,0.82,14.88,5.44,0,21.44,284.25,79.33,0.177,0.49
"COMPASS_Dec2021_025","WLE","PTR","wc","L7","A",365.79,6.5,0.35,8.297,0.725,NA,17.43,86.78,1571.68,156.57,34.55,0.55,0.61,11.58,6.33,0,19.07,256.88,99,0.201,1.878
"COMPASS_Dec2021_026","WLE","PTR","wc","L8","A",256.96,6.2,0.41,7.291,0.694,0.126,16.11,57.17,1167.28,136.32,27.67,0.37,0.36,13.85,5.43,0,20.02,166.76,44.37,0.168,3.412
"COMPASS_Dec2021_027","WLE","PTR","wc","L9","A",271.43,6.4,0.55,7.411,0.707,NA,17.7,58.24,1254.78,150.6,28.85,0.45,0.58,12.98,6.95,0,20.96,297.14,16.95,0.18,5.615
"COMPASS_Dec2021_070","WLE","OWC","transition","120","A",79.93,7.2,0.08,5.302,0.358,0.038,11.18,51.89,619.57,3.93,11.38,0.05,0.43,10.92,2.51,0,13.92,104.18,150.28,0.012,0.078
"COMPASS_Dec2021_071","WLE","OWC","transition","121","A",61.89,6.8,0.11,5.812,0.394,0.031,11.01,87.56,482.61,41.75,11.65,0.03,1.89,5.96,2.58,0,10.46,25.78,192.32,0.007,0.04
"COMPASS_Dec2021_072","WLE","OWC","transition","122","A",90.71,7.1,0.05,6.686,0.441,0.044,13.63,39.74,587.31,1.04,11.36,0.07,0.5,9.71,3.01,0,13.29,75.37,149.69,0.023,0.035
"COMPASS_Dec2021_073","WLE","OWC","transition","123","A",69.72,6.6,0.09,5.88,0.423,0.033,13.1,99.87,506.28,41.17,13.45,0.14,0.31,7.29,3.27,0.02,11.04,60.21,113.39,0.022,0.057
"COMPASS_Dec2021_074","WLE","OWC","transition","124","A",100.33,7.2,0.07,NA,NA,NA,15.56,98.07,633.98,28.55,15.37,0.12,0.72,9.68,4.31,0,14.82,174.24,151.74,0.052,0.172
"COMPASS_Dec2021_075","WLE","OWC","transition","125","A",80.13,7.2,0.1,7.994,0.591,0.054,17.44,90.2,552.01,33.35,15.5,0.15,0.57,9.51,5.42,0.02,15.68,111.83,276.18,0.046,0.087
"COMPASS_Dec2021_076","WLE","OWC","transition","126","A",81.61,7.3,0.06,5.318,0.384,0.036,7.28,61.63,554.33,24.74,14.35,0.07,0.41,7.93,3.31,0,11.72,74.6,119.98,0.023,0.058
"COMPASS_Dec2021_077","WLE","OWC","transition","127","A",76.47,6.8,0.06,5.905,0.42,0.033,30.17,86.71,527.87,39.17,13.95,0.07,0.64,7.67,3.49,0,11.87,119.11,110.19,0.022,0.039
"COMPASS_Dec2021_078","WLE","OWC","transition","128","A",109.2,6.5,0.11,8.908,0.622,0.046,19.59,92.91,651.28,57.86,17.36,0.09,1.11,11.09,0.71,0,13.01,124.41,184.02,0.083,0.057
"COMPASS_Dec2021_079","WLE","OWC","wte","W1","A",122.4,6.6,0.09,7.383,0.53,0.047,15.41,76.8,676.65,71.72,19.29,0.18,0.28,9.75,3.22,0,13.43,212.28,109.31,0.027,0.156
"COMPASS_Dec2021_080","WLE","OWC","wte","W2","A",93.75,6.6,0.09,5.732,0.444,0.043,12.44,61.8,583.91,65.05,15.14,0.16,0.15,9.18,2.82,0,12.32,165.21,97.59,0.017,0.091
"COMPASS_Dec2021_081","WLE","OWC","wte","W3","A",111.19,6.8,0.09,7.166,0.555,0.055,14.5,56.82,646.68,84.03,16.34,0.15,0.31,9.84,3.27,0,13.58,204.33,84.11,0.034,0.089
"COMPASS_Dec2021_082","WLE","OWC","wte","W4","A",101.81,7,0.08,5.736,0.428,0.057,13.32,51.03,651.54,48.88,15.55,0.13,0.36,9.18,3.02,0,12.68,224.23,173.35,0.021,0.193
"COMPASS_Dec2021_083","WLE","OWC","wte","W5","A",82.47,7.5,0.08,4.843,0.399,0.047,9.82,50.57,562.66,38.73,16.38,0.12,0.28,8.71,2.55,0,11.66,147.24,124.02,0.008,0.177
"COMPASS_Dec2021_084","WLE","OWC","wte","W6","A",122.35,7.2,0.07,7.034,0.497,0.066,15.02,73.6,687.7,39.35,17.71,0.18,0.24,9.74,2.91,0,13.07,227.75,148.02,0.02,0.276
"COMPASS_Dec2021_085","WLE","OWC","wte","W7","A",158.74,6.3,0.14,9.327,0.694,0.086,20.24,72.66,788.87,110.39,23.09,0.19,0.58,10.99,4,0,15.77,236.39,117.02,0.007,0.136
"COMPASS_Dec2021_086","WLE","OWC","wte","W8","A",116.67,6.6,0.07,6.714,0.519,0.084,14.58,57.68,661.01,42.08,16.95,0.18,0.22,9.24,3.49,0,13.12,168.97,100.51,0.026,0.167
"COMPASS_Dec2021_087","WLE","OWC","wte","W9","A",142.15,6.9,0.15,10.381,0.746,0.102,21.26,74.55,742.78,67.77,18.57,0.16,0.38,10.71,4.56,0,15.81,175.08,106.01,0.04,0.17
"COMPASS_Dec2021_088","WLE","OWC","wc","WC1","A",116.4,6.5,0.11,3.828,0.329,0.057,NA,43.45,653.79,14.35,17.7,0.21,0.14,8,3.14,0,11.5,126.46,49.09,0.048,1.097
"COMPASS_Dec2021_089","WLE","OWC","wc","WC2","A",177.16,6.1,0.17,8.329,0.621,0.116,NA,63.53,856.65,48.28,22.74,0.22,0.3,10.59,3.15,0,14.26,148.18,125.73,0.083,1.821
"COMPASS_Dec2021_090","WLE","OWC","wc","WC3","A",132.62,6,0.16,6.625,0.518,0.086,NA,50.5,710.56,22.07,19.47,0.2,0.2,9.43,3.23,0,13.06,144.06,110.3,0.061,1.483
"COMPASS_Dec2021_091","WLE","OWC","wc","WC4","A",176.76,6.3,0.28,8.635,0.623,0.108,NA,52.13,879.07,24.97,21.22,0.26,0.22,11.99,3.52,0,15.98,159.16,116.89,0.078,2.432
"COMPASS_Dec2021_092","WLE","OWC","wc","WC5","A",124.55,6.1,0.14,4.959,0.424,0.061,NA,39.89,683.95,18.74,17.24,0.18,0.23,8.33,2.73,0,11.47,101.06,113.21,0.055,1.415
"COMPASS_Dec2021_093","WLE","OWC","wc","WC6","A",170.1,6.6,0.19,6.93,0.559,0.092,NA,48.31,839.88,31.99,20.87,0.23,0.24,10.58,2.97,0,14.02,103.26,134.06,0.099,1.556
"COMPASS_Dec2021_094","WLE","OWC","wc","WC7","A",149.38,6.7,0.26,7.119,0.581,0.096,NA,54.85,758.93,13.94,15.47,0.21,0.15,11.17,3.07,0,14.59,134.69,126.76,0.072,2.921
"COMPASS_Dec2021_095","WLE","OWC","wc","WC8","A",122.58,6.6,0.21,5.593,0.455,0.086,NA,43.17,678.26,21.04,16.96,0.12,0.09,3.28,1.17,0,4.65,NA,102.75,0.063,2.2
"COMPASS_Dec2021_031","WLE","PTR","wc","Ph1","A",140.09,6.9,0.16,6.436,0.562,0.098,15.85,59.44,793.44,10.71,12.04,0.45,0.2,12.55,6.46,0,19.65,161.51,15.49,0.176,0.792
"COMPASS_Dec2021_032","WLE","PTR","wc","Ph2","A",204.42,7.3,0.28,6.571,0.612,0.096,14.21,38.37,1102.77,55.44,22.87,0.33,0.69,15.58,5.42,0,22.02,329.94,79.97,0.392,0.496
"COMPASS_Dec2021_033","WLE","PTR","wc","Ph3","A",119.2,7.4,0.09,6.175,0.528,0.093,13.39,24.56,690.15,59.44,15.04,0.25,0.15,12.56,4.44,0,17.4,192.91,14.84,0.081,0.253
"COMPASS_Dec2021_028","WLE","PTR","wc","C1","A",206.74,6.1,0.64,8.942,0.659,0.182,18.24,37.06,968.02,33.13,22.84,0.32,0.24,16.8,6.94,0,24.29,329.15,92.39,0.13,7.891
"COMPASS_Dec2021_029","WLE","PTR","wc","C2","A",185.26,5.5,0.47,7.759,0.643,0.194,17.51,42.19,878.51,46.65,23.97,0.25,0.23,14.34,4.36,0.05,19.23,219.06,32.33,0.147,4.97
"COMPASS_Dec2021_030","WLE","PTR","wc","C3","A",194.22,5.6,0.64,7.793,0.671,0.143,16.78,50.28,909.89,59.85,23.11,0.45,0.43,13.01,6.9,0,20.8,199.9,18.77,0.136,7.23
"COMPASS_Dec2021_010","WLE","PTR","transition","11","A",143.84,6.4,0.15,10.452,0.806,0.096,22.15,95.32,750.74,57.15,18.23,0.23,1.55,13.38,3.2,0.03,18.39,113.48,386.04,0.106,0.165
"COMPASS_Dec2021_011","WLE","PTR","transition","12","A",99.31,6.7,0.13,9.205,0.75,0.093,18.94,55.67,611.08,61.26,14.55,0.17,0.97,12.44,4.71,0,18.29,143.19,160.27,0.063,0.153
"COMPASS_Dec2021_012","WLE","PTR","transition","13","A",100,6.7,0.09,8.053,0.643,0.072,15.64,50.23,608.18,46.2,13.86,0.1,0.77,9.58,3.84,0,14.29,147.98,79,0.074,0.102
"COMPASS_Dec2021_013","WLE","PTR","transition","14","A",102.14,6.4,0.13,8.562,0.711,0.08,18.07,74.21,611.34,62.21,13.44,0.2,0.87,10.8,4.64,0,16.51,86.86,123.44,0.115,0.15
"COMPASS_Dec2021_014","WLE","PTR","transition","16","A",61.81,6.2,0.08,6.075,0.533,0.051,12.83,46.26,475.59,77.22,13.1,0.12,0.4,7.24,3.1,0,10.85,88.95,135.79,0.026,0.05
"COMPASS_Dec2021_015","WLE","PTR","transition","17","A",44.24,5.6,0.07,6.509,0.498,0.056,13.02,54.08,413.74,33.55,11.67,0.04,0.55,7.54,1.84,0.04,10.02,36.9,191.13,0.005,0.033
"COMPASS_Dec2021_017","WLE","PTR","transition","20","A",100,5.9,0.15,9.309,0.707,0.093,19.46,68.87,602.96,85.96,16.09,0.1,1.03,11.05,4.14,0.02,16.35,85.28,330.82,0.078,0.087
"COMPASS_Dec2021_018","WLE","PTR","transition","21","A",87.81,6.2,0.13,8.029,0.676,0.081,16.91,61.99,562.39,24.64,10.47,0.26,0.47,11.72,4.03,0,16.48,65.07,264.18,0.123,0.264
"COMPASS_May22_129","CB","MSM","upland","401","O",227,4.3,0.76,28.582,0.783,0.117,54.76,875.51,1008.02,1.86,29.18,6.72,0.44,1.53,39.14,2.21,50.03,400.32,1.53,5.076,0.273
"COMPASS_May22_130","CB","MSM","upland","402","O",276.77,4.1,0.53,33.01,1.035,0.121,67.64,547.07,1167.09,2.16,35.65,4.61,0.32,1.29,4.03,2.74,12.99,186.53,2.59,4.105,0.244
"COMPASS_May22_131","CB","MSM","upland","403","O",334.48,4.4,0.59,35.503,1.337,0.157,83.5,918.77,1354.81,2.51,36.41,5.56,0.76,2.64,6.14,2.37,17.47,NA,1.98,4.457,0.29
"COMPASS_May22_132","CB","MSM","upland","404","O",345.36,4,0.81,31.068,1.029,0.167,71.56,780.47,1389.02,2.57,37.3,8.39,0.55,1.31,4.21,4.12,18.58,246.6,4.5,7.501,0.415
"COMPASS_May22_133","CB","MSM","upland","405","O",351.19,3.9,0.6,35.136,1.263,0.16,87.46,790.6,1403.26,2.6,51.53,6.03,0.37,1.37,4.43,2.59,14.79,91.64,NA,5.112,0.289
"COMPASS_May22_134","CB","MSM","upland","406","O",332.95,4.3,0.23,36.542,1.119,0.136,88.41,840.23,1350.01,2.5,38.03,4.95,0.73,0.93,3.26,1.89,11.78,105.69,6.86,1.283,0.1
"COMPASS_May22_135","CB","MSM","upland","407","O",264.15,3.9,0.8,32.866,1.333,0.556,79.42,711.52,1126.82,2.08,28.15,6.31,0.34,0.82,2.61,2.75,12.83,339.15,1.33,6.914,0.38
"COMPASS_May22_136","CB","MSM","upland","408","O",265.56,4.4,0.53,28.411,1.102,0.123,53.6,592.86,1133.34,2.09,29.94,4.85,0.34,1.16,3.92,2.02,12.3,73.1,5.96,4.195,0.225
"COMPASS_May22_137","CB","MSM","transition","409","O",646.3,5.9,1.04,25.983,1.555,0.321,78.82,516.81,2424.56,4.36,119.11,18.28,1.22,7.48,27.44,0,54.41,458.41,7.95,11.724,1.361
"COMPASS_May22_138","CB","MSM","transition","410","O",520.97,5.4,2.27,27.367,1.863,0.675,69.03,545.83,1961.34,3.62,119.09,20.22,0.61,5.85,19.18,0.07,45.92,184.78,11.71,23.655,2.799
"COMPASS_May22_139","CB","MSM","transition","411","O",477.78,5.1,1.54,32.886,1.583,NA,81.77,827.1,1819.75,3.37,46.46,16.17,0.63,4.4,14.28,0.36,35.84,381.43,6.4,17.57,1.713
"COMPASS_May22_140","CB","MSM","transition","412","O",494.12,5.2,2.16,34.061,1.5,NA,77.21,688.83,1880.26,3.45,69.06,22.4,0.78,5.68,19.39,0.13,48.38,445.65,1.69,24.803,2.421
"COMPASS_May22_141","CB","MSM","transition","413","O",352.08,4.4,2.02,33.159,1.613,0.361,69.09,685.47,1411.74,2.62,36.11,15.85,0.66,2.06,7.39,2.06,28.03,194.07,4.69,21.961,2.144
"COMPASS_May22_142","CB","MSM","transition","414","O",386.14,5.2,1.69,27.324,1.171,0.449,73.14,531.69,1527.37,2.82,45.35,18.02,0.64,4.22,14.82,0.14,37.84,283.37,7.72,20.078,2.301
"COMPASS_May22_143","CB","MSM","transition","415","O",467.11,5.4,1.91,26.889,1.343,0.358,76.3,629.75,1801.61,3.3,83.23,20.55,0.69,5.48,18.53,0.1,45.34,229.1,4.97,24.772,2.574
"COMPASS_May22_144","CB","MSM","transition","416","O",506.33,4.8,1.69,NA,NA,NA,79.38,733.57,1917.49,3.54,91.79,18.52,0.64,4.56,15.17,0.66,39.56,338.71,4.76,19.821,2.039
"COMPASS_May22_145","CB","MSM","wc","W1","O",853.85,5.7,5.11,27.634,1.419,1.055,68.29,425.16,3143.44,5.64,175.47,67.05,2.81,4.87,20.62,0,95.35,35.52,104.47,101.138,13.391
"COMPASS_May22_146","CB","MSM","wc","W2","O",834.55,4.6,6.3,38.697,1.803,1.75,70.16,381.22,2981.49,5.53,82.89,78.72,2.79,4.77,21.2,0.14,107.63,60.43,41.84,134.994,21.117
"COMPASS_May22_147","CB","MSM","wc","W3","O",822.95,4.1,8.38,31.479,1.643,1.814,80.19,235.12,2937.29,5.46,79.12,79.53,2.63,4.64,22.42,0,109.22,90.23,37.84,134.461,29.448
"COMPASS_May22_148","CB","MSM","wc","W4","O",934.69,4.7,5.01,22.558,1.367,1.537,62.26,296.67,3322.91,6.11,114.83,99.85,3.37,4.97,25.15,0,133.34,41.41,56.1,169.392,26.49
"COMPASS_May22_149","CB","MSM","wc","W5","O",774.6,4.1,5.57,41.044,1.575,2.028,75.57,269.45,2775.64,5.15,68.46,61.84,1.68,2.86,14.46,1.25,82.1,237.44,14.65,122.712,24.695
"COMPASS_May22_150","CB","MSM","wc","W6","O",837.04,3.7,NA,28.568,1.67,1.602,73.52,431.53,2973.23,5.53,64.72,82.54,2.18,3.66,18.93,0.8,108.11,472.02,26.68,0,27.468
"COMPASS_May22_151","CB","MSM","wc","W7","O",831.03,4.9,6.15,40.417,1.662,1.866,73.26,219.2,2996.17,58.7,95.46,112.05,2.83,5.85,30.14,0,150.87,3.95,28.66,137.383,17.514
"COMPASS_May22_152","CB","MSM","wc","W8","O",881.13,5.2,6.29,31.239,2.039,1.542,65.29,323.88,3142.37,5.77,290.09,135.54,3.67,5.44,32.37,0.14,177.17,2.22,14.61,152.138,20.395
"COMPASS_May22_153","CB","MSM","wc","W9","O",948,5.5,NA,34.105,2.167,2.436,62.53,427.11,3385.96,6.17,487.2,144.41,3.87,8,38.39,0,194.67,6.95,61.03,0,35.873
"COMPASS_May22_172","CB","GWI","upland","622","O",302.22,4.4,2.09,34.831,1.404,0.159,75.67,1346.81,1246.93,2.32,35.92,21.88,1.4,3.93,13.06,0.96,41.23,170.67,26.13,17.06,1.595
"COMPASS_May22_173","CB","GWI","upland","633","O",132.7,4.5,0.62,32.815,1.224,0.162,77.16,745.37,701.07,1.29,16.82,16.76,1.22,2.39,7.96,0.37,28.7,16.8,20.84,4.771,0.506
