pF [-],kPa,Water Content [Vol%],zone,type
4.194,1563.148,3.39,transition,fitted
4.214,1636.817,3.31,transition,fitted
4.234,1713.957,3.23,transition,fitted
4.255,1798.871,3.15,transition,fitted
4.275,1883.649,3.07,transition,fitted
4.295,1972.423,2.99,transition,fitted
4.315,2065.380,2.92,transition,fitted
4.335,2162.719,2.85,transition,fitted
4.355,2264.644,2.78,transition,fitted
4.375,2371.374,2.71,transition,fitted
4.395,2483.133,2.64,transition,fitted
4.415,2600.160,2.58,transition,fitted
4.435,2722.701,2.51,transition,fitted
4.455,2851.018,2.45,transition,fitted
4.475,2985.383,2.39,transition,fitted
4.495,3126.079,2.33,transition,fitted
4.515,3273.407,2.27,transition,fitted
4.535,3427.678,2.22,transition,fitted
4.555,3589.219,2.16,transition,fitted
4.575,3758.374,2.11,transition,fitted
4.595,3935.501,2.06,transition,fitted
4.615,4120.975,2.01,transition,fitted
4.635,4315.191,1.96,transition,fitted
4.655,4518.559,1.91,transition,fitted
4.675,4731.513,1.86,transition,fitted
4.695,4954.502,1.82,transition,fitted
4.715,5188.000,1.77,transition,fitted
4.735,5432.503,1.73,transition,fitted
4.756,5701.643,1.68,transition,fitted
4.776,5970.353,1.64,transition,fitted
4.796,6251.727,1.6,transition,fitted
4.816,6546.362,1.56,transition,fitted
4.836,6854.882,1.52,transition,fitted
4.856,7177.943,1.49,transition,fitted
4.876,7516.229,1.45,transition,fitted
4.896,7870.458,1.41,transition,fitted
4.916,8241.381,1.38,transition,fitted
4.936,8629.785,1.35,transition,fitted
4.956,9036.495,1.31,transition,fitted
4.976,9462.372,1.28,transition,fitted
4.996,9908.319,1.25,transition,fitted
5.016,10375.284,1.22,transition,fitted
5.036,10864.256,1.19,transition,fitted
5.056,11376.273,1.16,transition,fitted
5.076,11912.420,1.13,transition,fitted
5.096,12473.835,1.1,transition,fitted
5.116,13061.709,1.07,transition,fitted
5.136,13677.288,1.05,transition,fitted
5.156,14321.879,1.02,transition,fitted
5.176,14996.848,1,transition,fitted
5.196,15703.628,0.97,transition,fitted
5.216,16443.717,0.95,transition,fitted
5.236,17218.686,0.92,transition,fitted
5.257,18071.741,0.9,transition,fitted
5.277,18923.436,0.88,transition,fitted
5.297,19815.270,0.86,transition,fitted
5.317,20749.135,0.84,transition,fitted
5.337,21727.012,0.82,transition,fitted
5.357,22750.974,0.8,transition,fitted
5.377,23823.195,0.78,transition,fitted
5.397,24945.947,0.76,transition,fitted
5.417,26121.614,0.74,transition,fitted
5.437,27352.687,0.72,transition,fitted
5.457,28641.780,0.7,transition,fitted
5.477,29991.625,0.69,transition,fitted
5.497,31405.087,0.67,transition,fitted
5.517,32885.163,0.65,transition,fitted
5.537,34434.993,0.64,transition,fitted
5.557,36057.864,0.62,transition,fitted
5.577,37757.219,0.6,transition,fitted
5.597,39536.662,0.59,transition,fitted
5.617,41399.967,0.58,transition,fitted
5.637,43351.088,0.56,transition,fitted
5.657,45394.162,0.55,transition,fitted
5.677,47533.523,0.53,transition,fitted
5.697,49773.708,0.52,transition,fitted
5.717,52119.471,0.51,transition,fitted
5.737,54575.786,0.5,transition,fitted
5.758,57279.603,0.48,transition,fitted
5.778,59979.108,0.47,transition,fitted
5.798,62805.836,0.46,transition,fitted
5.818,65765.784,0.45,transition,fitted
5.838,68865.230,0.44,transition,fitted
5.858,72110.748,0.43,transition,fitted
5.878,75509.223,0.42,transition,fitted
5.898,79067.863,0.41,transition,fitted
5.918,82794.216,0.4,transition,fitted
5.938,86696.188,0.39,transition,fitted
5.958,90782.053,0.38,transition,fitted
5.978,95060.479,0.37,transition,fitted
5.998,99540.542,0.36,transition,fitted
6.018,104231.743,0.35,transition,fitted
6.038,109144.034,0.34,transition,fitted
6.058,114287.833,0.33,transition,fitted
6.078,119674.053,0.32,transition,fitted
6.098,125314.117,0.32,transition,fitted
6.118,131219.990,0.31,transition,fitted
6.138,137404.198,0.3,transition,fitted
6.158,143879.858,0.29,transition,fitted
6.178,150660.707,0.29,transition,fitted
6.198,157761.127,0.28,transition,fitted
6.218,165196.180,0.27,transition,fitted
6.238,172981.636,0.27,transition,fitted
6.259,181551.566,0.26,transition,fitted
6.279,190107.828,0.25,transition,fitted
6.299,199067.334,0.25,transition,fitted
6.319,208449.088,0.24,transition,fitted
6.339,218272.991,0.23,transition,fitted
6.359,228559.880,0.23,transition,fitted
6.379,239331.576,0.22,transition,fitted
6.399,250610.925,0.22,transition,fitted
6.419,262421.854,0.21,transition,fitted
6.439,274789.415,0.21,transition,fitted
6.459,287739.841,0.2,transition,fitted
6.479,301300.602,0.2,transition,fitted
6.499,315500.462,0.19,transition,fitted
6.519,330369.541,0.19,transition,fitted
6.539,345939.378,0.18,transition,fitted
6.559,362242.998,0.18,transition,fitted
6.579,379314.985,0.17,transition,fitted
6.599,397191.549,0.17,transition,fitted
6.619,415910.610,0.16,transition,fitted
6.639,435511.874,0.16,transition,fitted
6.659,456036.916,0.16,transition,fitted
6.679,477529.274,0.15,transition,fitted
6.699,500034.535,0.15,transition,fitted
6.719,523600.437,0.15,transition,fitted
6.739,548276.965,0.14,transition,fitted
6.76,575439.937,0.14,transition,fitted
6.78,602559.586,0.13,transition,fitted
6.8,630957.344,0.13,transition,fitted
6.82,660693.448,0.13,transition,fitted
6.84,691830.971,0.13,transition,fitted
6.86,724435.960,0.12,transition,fitted
6.88,758577.575,0.12,transition,fitted
6.9,794328.235,0.12,transition,fitted
6.92,831763.771,0.11,transition,fitted
6.94,870963.590,0.11,transition,fitted
6.96,912010.839,0.11,transition,fitted
6.98,954992.586,0.11,transition,fitted
7,1000000.000,0.1,transition,fitted
