"sample_label","region","site","transect","tree_number","horizon","Quartz","Albite","Microcline","Muscovite","Kaolinite","Chlorite","Hornblende","Pyrite","Halite","Gypsum","Crystallinity"
"COMPASS_May22_175","Chesapeake","GWI","upland","647","O",87,13,0,0,0,0,0,0,0,0,0.00946
"COMPASS_May22_180","Chesapeake","GWI","transition","162","O",87,4.1,0,0,9,0,0,0,0,0,0.0178
"COMPASS_May22_181","Chesapeake","GWI","transition","163","O",50,6.6,7.2,28,8,0,0,0,0,0,0.0148
"COMPASS_May22_183","Chesapeake","GWI","transition","766","O",56,6.8,0,29,8.2,0,0,0,0,0,0.00846
"COMPASS_May22_188","Chesapeake","GWI","wetland","W1","O",65,0,0,18,0,0,0,0,17,0,0.0262
"COMPASS_May22_189","Chesapeake","GWI","wetland","W2","O",90,3.4,0,0,0,0,0,0,6.9,0,0.025
"COMPASS_May22_190","Chesapeake","GWI","wetland","W3","O",74,5.1,0,13,0,0,0,0,8.2,0,0.0495
"COMPASS_May22_196","Chesapeake","GWI","upland","622","A",96,4,0,0,0,0,0,0,0,0,0.0467
"COMPASS_May22_197","Chesapeake","GWI","upland","633","A",91,3.5,0,5.8,0,0,0,0,0,0,0.0497
"COMPASS_May22_198","Chesapeake","GWI","upland","642","A",92,8.2,0,0,0,0,0,0,0,0,0.0852
"COMPASS_May22_204","Chesapeake","GWI","transition","162","A",92,0,0,7.9,0,0,0,0,0,0,0.105
"COMPASS_May22_206","Chesapeake","GWI","transition","164","A",100,0,0,0,0,0,0,0,0,0,0.0459
"COMPASS_May22_207","Chesapeake","GWI","transition","766","A",95,0,0,5.1,0,0,0,0,0,0,0.105
"COMPASS_May22_212","Chesapeake","GWI","upland","622","B",91,3.8,0,5.5,0,0,0,0,0,0,0.0486
"COMPASS_May22_214","Chesapeake","GWI","upland","682","B",87,4.7,3.8,4.3,0,0,0,0,0,0,0.109
"COMPASS_Aug22_215","Chesapeake","GCW","upland","C12","A",84,0,2.9,13,0,0,0,0,0,0,0.0488
"COMPASS_Aug22_216","Chesapeake","GCW","upland","C11","A",76,0,8,16,0,0,0,0,0,0,0.0801
"COMPASS_Aug22_217","Chesapeake","GCW","upland","C10","A",77,3,3.1,17,0,0,0,0,0,0,0.0719
"COMPASS_Aug22_223","Chesapeake","GCW","transition","L1","A",72,2.7,5.8,20,0,0,0,0,0,0,0.0374
"COMPASS_Aug22_224","Chesapeake","GCW","transition","L2","A",78,0,3.3,19,0,0,0,0,0,0,0.0631
"COMPASS_Aug22_225","Chesapeake","GCW","transition","L3","A",72,6.4,6.4,15,0,0,0,0,0,0,0.0705
"COMPASS_Aug22_233","Chesapeake","GCW","wetland","W3","A",46,0,0,33,9.8,0,0,4.7,5.7,0,0.0211
"COMPASS_Aug22_234","Chesapeake","GCW","wetland","W4","A",28,0,0,37,13,0,0,3.1,18,0,0.0302
"COMPASS_Aug22_235","Chesapeake","GCW","wetland","W5","A",28,3.4,4.4,34,11,0,0,0,20,0,0.0253
"COMPASS_Aug22_239","Chesapeake","GCW","upland","C12","B",85,0,3.4,12,0,0,0,0,0,0,0.0421
"COMPASS_Aug22_240","Chesapeake","GCW","upland","C11","B",59,0,4.8,28,8.6,0,0,0,0,0,0.0801
"COMPASS_Aug22_241","Chesapeake","GCW","upland","C10","B",56,0,7.5,29,7.4,0,0,0,0,0,0.0671
"COMPASS_Aug22_248","Chesapeake","GCW","transition","L2","B",75,0,2.5,22,0,0,0,0,0,0,0.0355
"COMPASS_Aug22_249","Chesapeake","GCW","transition","L3","B",74,3.9,0,22,0,0,0,0,0,0,0.0636
"COMPASS_Aug22_250","Chesapeake","GCW","transition","L4","B",77,0,4,19,0,0,0,0,0,0,0.0766
"COMPASS_Aug22_254","Chesapeake","GCW","transition","713","B",76,0,4.3,19,0,0.8,0,0,0,0,0.0775
