"sample_label","mehlichp_g","iron_g","WSOC_g","base_cations_g","NH4_NO3_g","totalCN_g","bulk_for_drying_g","mehlichp_mL","iron_mL","WSOC_mL","base_cations_mL","NH4_NO4_mL","notes"
"COMPASS_Dec2021_080",1.2,1.2,7.99,5.01,4.98,3.02,5.44,"12","12","40","25","25",
"COMPASS_Dec2021_081",1.22,1.23,7.98,5,5,3,5.08,"12","12","40","25","25",
"COMPASS_Dec2021_082",1.2,1.17,8.02,4.98,5,3,5.05,"12","12","40","25","25",
"COMPASS_Dec2021_083",1.22,1.19,8.02,4.98,5.01,3,5.02,"12","12","40","25","25",
"COMPASS_Dec2021_084",1.17,1.2,8.02,5.01,5.02,2.99,5.15,"12","12","40","25","25",
"COMPASS_Dec2021_085",1.17,1.2,8.02,5.02,5,3,5.11,"12","12","40","25","25",
"COMPASS_Dec2021_086",1.18,1.17,8,5.02,4.99,3,5.28,"12","12","40","25","25",
"COMPASS_Dec2021_087",1.2,1.22,7.99,5.01,4.99,3,5.2,"12","12","40","25","25",
"COMPASS_Dec2021_088",1.21,,8.02,5,5.01,2.99,5.36,"12",,"40","25","25",
"COMPASS_Dec2021_089",1.2,,8.02,5.01,5.02,2.99,5.16,"12",,"40","25","25",
"COMPASS_Dec2021_090",1.21,,7.99,5,4.99,3,5.31,"12",,"40","25","25",
"COMPASS_Dec2021_091",1.22,,7.99,4.99,5,3.02,5.34,"12",,"40","25","25",
"COMPASS_Dec2021_092",1.18,,8.02,5,4.99,2.99,5.38,"12",,"40","25","25",
"COMPASS_Dec2021_093",1.19,,8.02,5,4.99,3.01,5.31,"12",,"40","25","25",
"COMPASS_Dec2021_094",1.2,,8,5.01,5.01,3.02,5.48,"12",,"40","25","25",
"COMPASS_Dec2021_095",1.2,,7.99,5.02,4.99,3.02,5.15,"12",,"40","25","25",
"COMPASS_Dec2021_096",1,,8.02,4.99,4.98,3,5.19,"10",,"40","25","25",
"COMPASS_Dec2021_097",1.01,,7.99,5.02,5.01,3,5.3,"10",,"40","25","25",
"COMPASS_Dec2021_098",0.98,,8,4.99,4.99,2.99,5.22,"10",,"40","25","25",
"COMPASS_Dec2021_099",0.97,,8,5.01,5.01,2.98,5.22,"10",,"40","25","25",
"COMPASS_Dec2021_100",1,,7.98,5,5,3,5.25,"10",,"40","25","25",
"COMPASS_Dec2021_101",1,,7.99,4.99,4.99,3.02,5.42,"10",,"40","25","25",
"COMPASS_Dec2021_102",0.98,,8,5.02,5.01,3.01,5.06,"10",,"40","25","25",
"COMPASS_Dec2021_103",0.96,,8.01,5.01,4.99,3.01,,"10",,"40","25","25",
"COMPASS_Dec2021_104",,,,,,,,"10",,,,,
"COMPASS_Dec2021_105",,,,,,,,"10",,,,,
"COMPASS_Dec2021_106",1,,7.99,4.98,4.98,2.98,,"10",,"40","25","25",
"COMPASS_Dec2021_107",0.97,,8.01,5,5.01,3.01,5.26,"10",,"40","25","25",
"COMPASS_Dec2021_108",0.99,,7.98,5.02,5.01,3.01,5.3,"10",,"40","25","25",
"COMPASS_Dec2021_109",0.98,,8.02,4.98,5,2.99,5.21,"10",,"40","25","25",
"COMPASS_Dec2021_110",0.96,,7.98,5.02,4.99,2.98,5.24,"10",,"40","25","25",
"COMPASS_Dec2021_111",1.04,,8.01,4.99,4.98,3.02,5.22,"10",,"40","25","25",
"COMPASS_Dec2021_112",0.98,,8.02,5,4.99,3.01,5.3,"10",,"40","25","25",
"COMPASS_Dec2021_113",0.96,,8,5.01,5.02,3,5.3,"10",,"40","25","25",
"COMPASS_Dec2021_114",1.03,,7.99,4.98,4.98,2.98,5.08,"10",,"40","25","25",
"COMPASS_Dec2021_115",0.99,,8.02,5.01,5.02,2.98,5.25,"10",,"40","25","25",
"COMPASS_Dec2021_116",1,,8,4.98,4.98,3.02,,"10",,"40","25","25","120 label"
"COMPASS_Dec2021_117",1,,8.02,4.98,4.99,3.01,5.07,"10",,"40","25","25",
"COMPASS_Dec2021_118",1.02,,7.98,5.01,5,2.98,5.31,"10",,"40","25","25",
"COMPASS_Dec2021_119",1.03,,8,5,5,2.99,,"10",,"40","25","25","123 label"
